Trap-Darts2	dart1			10	6		Node Pos	trap_ref		Polar	Sprite	Emitter YPR	Polar		spear	10	Blend	0					0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0		0	0	0	0,150	15	0	0	180	0	0	0,255,255,255,255,0	255	255	255						6
Trap-Darts2	New Emitter			10	6		Node Pos	trap_ref		Polar	Sprite	Emitter YPR	Polar		spear	10	Blend	0					0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0		0	30	0	0,150	15	0	0	210	0	0	0,255,255,255,255,0	255	255	255						6
Trap-Darts2	New Emitter			10	6		Node Pos	trap_ref		Polar	Sprite	Emitter YPR	Polar		spear	10	Blend	0					0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0		0	60	0	0,150	15	0	0	240	0	0	0,255,255,255,255,0	255	255	255						6
Trap-Darts2	New Emitter			10	6		Node Pos	trap_ref		Polar	Sprite	Emitter YPR	Polar		spear	10	Blend	0					0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0		0	90	0	0,150	15	0	0	270	0	0	0,255,255,255,255,0	255	255	255						6
Trap-Darts2	New Emitter			10	6		Node Pos	trap_ref		Polar	Sprite	Emitter YPR	Polar		spear	10	Blend	0					0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0		0	120	0	0,150	15	0	0	300	0	0	0,255,255,255,255,0	255	255	255						6
Trap-Darts2	New Emitter			10	6		Node Pos	trap_ref		Polar	Sprite	Emitter YPR	Polar		spear	10	Blend	0					0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0		0	150	0	0,150	15	0	0	330	0	0	0,255,255,255,255,0	255	255	255						6
Trap-Darts2	New Emitter			10	6		Node Pos	trap_ref		Polar	Sprite	Emitter YPR	Polar		spear	10	Blend	0					0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0		0	180	0	0,150	15	0	0	360	0	0	0,255,255,255,255,0	255	255	255						6
Trap-Darts2	New Emitter			10	6		Node Pos	trap_ref		Polar	Sprite	Emitter YPR	Polar		spear	10	Blend	0					0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0		0	210	0	0,150	15	0	0	390	0	0	0,255,255,255,255,0	255	255	255						6
Trap-Darts2	New Emitter			10	6		Node Pos	trap_ref		Polar	Sprite	Emitter YPR	Polar		spear	10	Blend	0					0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0		0	240	0	0,150	15	0	0	420	0	0	0,255,255,255,255,0	255	255	255						6
Trap-Darts2	New Emitter			10	6		Node Pos	trap_ref		Polar	Sprite	Emitter YPR	Polar		spear	10	Blend	0					0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0		0	270	0	0,150	15	0	0	450	0	0	0,255,255,255,255,0	255	255	255						6
Trap-Darts2	New Emitter			10	6		Node Pos	trap_ref		Polar	Sprite	Emitter YPR	Polar		spear	10	Blend	0					0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0		0	300	0	0,150	15	0	0	480	0	0	0,255,255,255,255,0	255	255	255						6
Trap-Darts2	New Emitter			10	6		Node Pos	trap_ref		Polar	Sprite	Emitter YPR	Polar		spear	10	Blend	0					0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0		0	330	0	0,150	15	0	0	510	0	0	0,255,255,255,255,0	255	255	255						6
