0	SPWI605	Acid Fog	2605	WIZARD_ACID_FOG	None
1	SPWI708	Acid Storm	2708	WIZARD_ACID_STORM	None
2	SPWI909	Aegis	2909	WIZARD_AEGIS	None
3	**PR614	None	-1	None	None
4	SPWI217	Aganazzar's Scorcher	-1	None	None
5	SPPR201	Aid	1201	CLERIC_AID	None
6	SPPR216	Alicorn Lance	1216	CLERIC_ALICORN_LANCE	None
7	SPPR517	Animal Rage	1517	CLERIC_ANIMAL_RAGE	None
8	**PR301	None	-1	None	None
9	SPWI501	Animate Dead	2501	WIZARD_ANIMATE_DEAD	WIZARD_ANIMATE_DEAD_LICH
10	SPWI601	Antimagic Field	2601	WIZARD_ANTIMAGIC_SHELL	None
11	SPPR115	Armor of Faith	1115	CLERIC_ARMOR_OF_FAITH	None
12	SPPR729	Aura of Vitality	1729	CLERIC_AURA_OF_VITALITY	None
13	SPWI525	Ball Lightning	2525	WIZARD_BALL_LIGHTNING	None
14	SPWI718	Banishment	2718	WIZARD_BANISHMENT	None
15	SPPR202	Barkskin	1202	CLERIC_BARKSKIN	None
16	SPPR217	Beast Claw	1217	CLERIC_BEAST_CLAW	INNATE_BEAST_CLAW
17	SPWI417	Beltyn's Burning Blood	2417	WIZARD_BELTYNS_BURNING_BLOOD	None
18	SPWI907	Black Blade of Disaster	2907	WIZARD_BLACK_BLADE_OF_DISASTER	None
19	SPPR610	Circle of Blades	1610	CLERIC_CIRCLE_OF_BLADES	None
20	SPPR722	Blasphemy	-1	None	None
21	SPPR101	Bless	1101	CLERIC_BLESS	None
22	SPWI222	Blindness	2222	WIZARD_BLINDNESS	None
23	SPWI323	Blink	2323	WIZARD_BLINK	None
24	SPPR415	Blood Rage	1415	CLERIC_BLOOD_RAGE	INNATE_BLOOD_RAGE
25	SPWI201	Blur	2201	WIZARD_BLUR	None
26	SPWI214	Bull's Strength	12197	None	None
27	SPWI103	Burning Hands	2103	WIZARD_BURNING_HANDS	None
28	SPWI713	Cacofiend	2713	WIZARD_CACOFIEND	None
29	SPPR302	Call Lightning	1987	TRAP_CALL_LIGHTNING	CLERIC_CALL_LIGHTNING
